gameid,playerid,goals,owngoals,shots,assists,keypasses,leagueid
113,662,0,0,0,0,0,1
113,663,0,0,0,0,3,1
113,665,0,0,1,0,0,1
113,875,0,0,0,0,2,1
113,961,0,0,2,1,4,1
113,668,0,0,2,0,5,1
113,669,0,0,3,0,2,1
113,667,0,0,1,0,0,1
113,674,0,0,3,0,0,1
113,671,0,0,6,0,1,1
113,679,2,0,3,0,1,1
113,670,0,0,0,0,0,1
113,580,0,0,0,0,0,1
113,742,0,0,1,0,1,1
113,736,0,0,0,0,0,1
113,729,0,0,0,0,0,1
113,730,0,0,0,0,0,1
113,732,1,0,1,0,2,1
113,733,0,0,1,0,0,1
113,738,0,0,0,0,0,1
113,781,1,0,1,0,1,1
113,932,0,0,0,0,0,1
113,735,0,0,1,0,0,1
113,739,0,0,0,1,2,1
113,740,0,0,0,0,0,1
113,930,0,0,2,0,0,1
131,694,0,0,0,0,0,1
131,682,0,0,2,0,0,1
131,935,1,0,2,0,0,1
131,699,0,0,0,0,1,1
131,681,0,0,0,0,1,1
131,697,0,0,2,0,3,1
131,686,0,0,3,1,3,1
131,687,0,0,5,0,3,1
131,692,0,0,0,0,2,1
131,701,0,0,4,0,5,1
131,802,0,0,2,0,1,1
131,936,0,0,1,0,0,1
131,690,0,0,1,0,1,1
131,685,0,0,0,0,0,1
131,491,0,0,0,0,0,1
131,492,0,0,0,0,0,1
131,494,0,0,0,0,0,1
131,493,0,0,0,0,0,1
131,495,0,0,0,0,2,1
131,965,0,0,0,0,0,1
131,497,0,0,0,0,0,1
131,504,0,0,3,0,0,1
131,499,0,0,0,0,2,1
131,498,0,0,3,0,0,1
131,503,0,0,3,0,1,1
131,508,0,1,0,0,0,1
131,966,0,0,0,0,0,1
131,502,0,0,0,0,0,1
147,527,0,0,0,0,0,1
147,938,0,0,0,0,1,1
147,530,0,0,1,0,1,1
147,529,0,0,2,0,0,1
147,534,0,0,0,0,0,1
147,533,0,0,0,0,1,1
147,532,1,0,4,0,2,1
147,535,0,0,3,0,0,1
147,536,0,0,1,1,7,1
147,541,0,0,0,0,1,1
147,656,1,0,8,0,1,1
147,542,0,0,0,0,0,1
147,537,0,0,0,1,1,1
147,939,0,0,0,0,1,1
147,785,0,0,0,0,0,1
147,926,0,0,1,0,0,1
147,821,0,0,0,0,0,1
147,788,0,0,1,0,0,1
147,798,0,0,1,0,2,1
147,791,0,0,0,0,0,1
147,801,0,0,0,0,1,1
147,792,0,0,4,0,2,1
147,793,0,0,0,1,2,1
147,789,1,0,4,0,2,1
147,794,0,0,4,0,0,1
147,796,0,0,0,0,0,1
147,795,0,0,0,0,1,1
147,790,1,0,1,0,2,1
210,509,0,0,0,0,0,1
210,510,0,0,1,0,0,1
210,512,0,0,0,0,0,1
210,511,0,0,1,0,0,1
210,513,0,0,0,0,3,1
210,633,0,0,2,0,2,1
210,516,0,0,5,0,2,1
210,518,0,0,2,0,0,1
210,514,0,0,2,0,2,1
210,522,0,0,2,0,2,1
210,519,0,0,3,0,0,1
210,905,0,0,0,0,2,1
210,822,0,0,0,0,1,1
210,520,0,0,1,0,0,1
210,580,0,0,0,0,0,1
210,736,0,0,0,0,0,1
210,729,0,0,0,0,0,1
210,927,0,0,2,0,0,1
210,742,0,0,2,1,2,1
210,730,0,0,3,0,0,1
210,732,0,0,1,0,1,1
210,740,0,0,0,0,1,1
210,738,0,0,0,0,1,1
210,735,1,0,2,0,2,1
210,930,0,0,1,0,0,1
210,919,0,0,0,0,1,1
210,932,0,0,0,0,0,1
210,781,0,0,1,0,0,1
278,564,0,0,0,0,0,1
278,565,0,0,0,0,0,1
278,581,0,0,0,0,0,1
278,567,0,0,0,0,0,1
278,568,0,0,1,0,2,1
278,569,0,0,2,0,2,1
278,572,0,0,1,0,1,1
278,571,1,0,3,0,0,1
278,582,0,0,1,0,0,1
278,573,0,0,3,0,0,1
278,574,0,0,1,0,1,1
278,583,0,0,0,0,0,1
278,609,0,0,0,0,0,1
278,625,0,0,0,1,1,1
278,626,0,0,0,0,0,1
278,611,0,0,0,0,0,1
278,621,0,0,2,1,1,1
278,878,1,0,4,0,0,1
278,614,0,0,2,0,2,1
278,447,0,0,3,0,4,1
278,617,0,0,1,0,4,1
278,618,0,0,1,0,2,1
278,619,1,0,3,0,0,1
278,616,0,0,0,0,1,1
278,622,0,0,0,0,0,1
278,623,0,0,0,0,0,1
288,609,0,0,0,0,0,1
288,625,0,0,0,0,2,1
288,623,0,0,2,0,0,1
288,611,0,0,1,0,0,1
288,613,0,0,0,0,1,1
288,616,0,0,3,0,1,1
288,615,0,0,0,0,2,1
288,878,0,0,4,0,3,1
288,447,0,0,2,0,6,1
288,619,0,0,3,0,0,1
288,618,0,0,6,0,2,1
288,617,0,0,1,0,2,1
288,600,0,0,0,0,0,1
288,586,0,0,0,0,0,1
288,587,0,0,0,0,0,1
288,597,0,0,0,0,0,1
288,588,0,0,0,0,1,1
288,908,0,0,0,0,2,1
288,590,0,0,0,0,0,1
288,591,0,0,1,0,1,1
288,592,0,0,1,0,0,1
288,891,0,0,1,0,0,1
288,594,0,0,4,0,2,1
288,924,0,0,0,0,0,1
288,601,0,0,0,0,0,1
297,678,0,0,0,0,0,1
297,674,0,0,2,0,2,1
297,664,0,0,0,0,0,1
297,676,0,0,0,0,0,1
297,666,0,0,2,0,0,1
297,668,0,0,3,0,0,1
297,669,0,0,1,0,1,1
297,677,0,0,1,0,2,1
297,670,0,0,0,0,0,1
297,1026,0,0,3,0,1,1
297,672,0,0,1,0,1,1
297,679,0,0,0,0,0,1
297,671,1,0,1,0,1,1
297,745,0,0,0,0,1,1
297,746,0,0,0,0,0,1
297,747,0,0,0,0,0,1
297,748,0,0,0,0,0,1
297,749,0,0,0,0,1,1
297,750,0,0,2,0,0,1
297,751,0,0,0,0,0,1
297,752,0,0,3,0,2,1
297,753,0,0,3,0,1,1
297,754,1,0,1,0,1,1
297,755,0,0,3,0,3,1
297,756,0,0,0,0,0,1
297,955,0,0,0,0,0,1
297,762,0,0,0,0,0,1
325,706,0,0,0,0,0,1
325,707,0,0,1,0,1,1
325,708,0,0,2,0,2,1
325,709,0,0,2,0,1,1
325,710,0,0,0,0,0,1
325,713,0,0,5,0,0,1
325,830,0,0,0,0,1,1
325,712,0,0,0,0,1,1
325,714,1,0,4,0,4,1
325,716,0,0,1,0,0,1
325,719,0,0,1,0,0,1
325,717,0,0,0,0,0,1
325,720,0,0,2,0,0,1
325,718,0,0,0,0,0,1
