gameid,leagueid,year,hometeamid,awayteamid,homegoals,awaygoals
113,1,2015,71,77,2,2
131,1,2015,80,83,2,0
147,1,2015,81,79,2,2
210,1,2015,78,77,0,1
278,1,2016,90,88,1,2
288,1,2016,88,72,0,0
297,1,2016,71,75,1,1
325,1,2016,84,78,1,1
345,1,2016,85,71,2,1
347,1,2016,82,84,2,1
361,1,2016,84,79,1,0
365,1,2016,86,73,1,3
368,1,2016,76,89,1,0
389,1,2016,77,76,0,0
468,1,2016,73,89,1,3
634,2,2015,102,94,4,1
656,2,2015,103,94,0,0
732,2,2016,95,111,1,1
818,2,2016,98,106,2,0
836,2,2016,103,112,2,1
837,2,2016,110,94,1,1
859,2,2016,106,113,1,2
860,2,2016,97,94,0,1
885,2,2016,99,110,2,1
940,2,2016,101,116,3,1
1029,3,2015,133,134,1,3
1058,3,2015,127,117,0,3
1207,3,2016,134,132,3,1
1272,3,2016,120,134,1,1
1285,3,2016,119,132,3,0
1287,3,2016,123,131,3,2
1312,3,2016,133,125,1,3
1320,3,2016,123,132,1,0
1347,3,2016,120,131,0,0
1415,4,2015,138,143,0,3
1423,4,2015,153,140,1,0
1444,4,2015,151,156,2,2
1469,4,2015,150,151,3,0
1502,4,2015,156,142,3,1
1508,4,2015,138,150,3,2
1549,4,2015,146,142,2,2
1582,4,2016,151,145,2,1
1678,4,2016,141,145,2,1
1713,4,2016,153,151,1,0
1744,4,2016,151,147,2,2
1758,4,2016,137,151,3,1
1770,4,2016,139,150,0,2
1791,4,2016,157,140,0,2
1792,4,2016,156,146,1,0
1841,4,2016,138,158,2,1
1876,5,2015,174,175,2,1
1903,5,2015,167,170,1,1
1920,5,2015,177,161,1,1
1929,5,2015,167,177,0,0
1984,5,2015,174,166,1,1
2036,5,2015,164,166,2,2
2076,5,2016,179,171,0,2
2103,5,2016,169,172,4,0
2136,5,2016,165,163,1,0
2149,5,2016,162,179,0,0
2679,1,2016,90,91,1,0
2761,2,2016,115,113,0,2
2765,2,2016,111,106,2,2
2777,4,2016,155,139,1,1
2795,4,2016,159,157,2,0
2807,3,2016,118,129,2,5
2829,3,2016,132,129,2,1
2864,5,2016,160,165,4,2
3111,1,2016,81,83,1,5
3157,1,2016,92,77,4,1
3180,4,2016,141,149,2,1
3192,3,2016,125,117,1,3
3206,3,2016,117,131,5,0
3212,3,2016,123,134,1,1
3218,3,2016,119,126,1,2
3232,5,2016,167,179,2,2
3252,5,2016,174,182,1,1
3303,3,2016,123,135,1,3
3313,4,2016,156,154,2,1
3421,1,2017,81,75,2,3
3471,1,2017,73,93,4,0
3479,1,2017,81,72,0,0
3532,2,2017,116,101,4,1
3578,2,2017,100,107,1,3
3579,2,2017,102,97,3,1
3601,2,2017,96,99,1,0
3626,2,2017,102,98,0,1
3669,2,2017,96,100,6,2
3740,3,2017,118,119,1,0
3759,3,2017,132,126,0,2
3762,3,2017,122,117,1,1
3860,3,2017,129,120,2,1
3896,4,2017,143,153,1,0
3944,4,2017,152,157,3,0
4036,4,2017,153,156,2,0
4069,4,2017,157,139,2,2
4078,4,2017,146,157,4,1
4082,4,2017,159,153,4,0
4089,4,2017,154,139,0,0
4134,5,2017,161,171,1,1
4181,5,2017,167,162,3,0
4199,5,2017,179,161,1,2
4209,5,2017,168,170,1,1
4223,5,2017,180,161,2,3
4224,5,2017,169,182,1,0
4256,5,2017,170,161,3,1
4263,5,2017,180,182,2,1
4294,5,2017,169,180,1,0
4400,1,2015,87,202,2,1
4402,1,2015,77,74,2,1
4405,1,2015,89,76,0,1
4406,1,2015,80,78,1,0
4430,1,2015,71,92,0,1
4433,1,2015,83,76,4,1
4570,1,2015,89,74,0,1
4627,1,2014,87,83,2,2
4786,2,2015,105,111,3,0
4789,2,2015,98,116,1,1
4796,2,2015,108,110,2,3
4856,2,2015,100,101,2,1
4873,2,2015,96,230,4,0
4898,2,2015,98,104,1,0
4901,2,2015,101,109,0,2
4959,2,2015,111,104,1,2
5031,2,2014,108,98,0,2
5043,2,2014,109,203,2,1
5055,2,2014,230,108,0,2
5070,2,2014,111,109,2,0
5083,2,2014,94,111,1,3
5164,3,2015,135,205,1,2
5174,3,2015,133,125,2,0
5244,3,2015,120,118,3,0
5290,3,2015,135,120,1,1
5317,3,2014,134,121,1,2
5344,3,2014,133,205,0,0
5366,3,2014,124,131,3,2
5401,3,2014,123,134,0,1
5416,3,2014,205,134,0,0
5492,4,2015,141,150,1,4
5494,4,2015,138,208,2,1
5499,4,2015,137,138,2,3
5544,4,2015,207,140,1,0
5607,4,2015,150,138,2,1
5611,4,2015,151,137,4,1
5634,4,2015,147,145,1,0
5668,4,2015,143,155,2,0
5670,4,2015,207,151,1,0
5690,4,2014,139,137,0,1
5739,4,2014,139,140,0,0
5820,4,2014,147,156,0,0
5835,4,2014,145,143,0,0
5861,5,2015,180,179,0,4
5878,5,2015,161,177,3,2
5889,5,2015,166,162,3,1
5922,5,2015,175,166,1,0
5961,5,2015,176,169,1,1
5994,5,2015,176,177,1,1
5999,5,2015,166,164,2,1
6062,5,2014,170,175,0,0
6063,5,2014,169,161,1,0
6087,5,2014,174,180,3,0
6111,5,2014,176,160,1,0
6120,5,2014,175,174,0,1
6124,5,2014,210,161,1,3
6139,5,2014,209,168,0,2
6142,5,2014,169,170,2,7
6151,5,2014,162,210,1,1
6202,5,2014,164,166,0,2
6217,5,2014,168,166,1,0
7170,1,2017,85,80,0,4
7185,1,2017,80,88,0,1
7203,1,2017,86,78,1,0
7212,1,2017,92,86,1,0
7301,1,2017,83,87,3,3
7313,1,2017,87,84,5,0
7319,1,2017,73,72,2,1
7416,1,2018,85,88,0,2
7450,1,2018,78,220,3,2
7469,1,2018,92,220,0,0
7496,1,2018,89,90,1,0
7505,2,2017,102,222,2,1
7539,2,2017,107,115,5,1
7601,2,2017,94,106,1,2
7645,2,2017,105,98,0,1
7700,2,2018,96,109,5,1
7730,2,2018,95,222,5,2
7814,2,2018,96,95,0,0
7848,2,2018,115,104,4,1
7873,2,2018,111,110,5,1
7909,4,2017,151,146,1,1
7923,4,2017,152,142,1,1
7948,4,2017,146,147,3,2
7976,4,2017,137,152,2,1
7996,4,2017,147,154,1,1
8072,4,2018,141,138,0,3
8082,4,2018,147,156,1,1
8088,4,2018,146,150,1,4
8118,4,2018,144,138,1,2
8132,4,2018,223,152,1,0
8145,4,2018,152,144,2,1
8294,3,2017,129,134,5,0
8328,3,2017,125,118,3,2
8349,3,2017,136,128,2,1
8350,3,2017,134,120,0,3
8385,3,2017,129,123,1,2
8409,3,2017,123,125,2,2
8430,3,2018,129,135,2,2
8489,3,2018,133,136,0,0
8517,3,2018,121,117,1,4
8566,5,2017,161,224,2,0
8625,5,2017,176,169,3,1
8665,5,2017,176,171,0,2
8678,5,2017,163,176,1,0
8711,5,2017,168,171,1,0
8748,5,2017,167,181,2,1
8838,5,2018,165,225,2,0
8858,5,2018,176,163,0,2
8892,5,2018,225,175,0,1
9276,1,2018,87,88,0,0
9290,1,2018,220,229,1,0
9353,1,2018,227,74,1,0
9486,1,2019,73,88,0,1
9511,1,2019,75,73,2,0
9512,1,2019,228,88,0,2
9706,2,2018,99,95,1,0
9734,2,2018,95,101,3,2
9777,2,2019,111,105,0,0
9791,2,2019,112,96,0,1
9798,2,2019,97,101,1,1
9811,2,2019,106,102,2,1
9824,2,2019,102,116,1,0
9827,2,2019,221,102,1,2
9837,2,2019,97,116,2,0
9873,2,2019,95,110,2,2
9965,4,2018,146,143,1,1
9987,4,2018,232,145,0,1
9991,4,2018,147,150,1,1
10047,4,2018,148,150,5,1
10058,4,2018,146,223,0,1
10067,4,2018,158,232,2,1
10078,4,2018,140,152,2,1
10111,4,2018,231,143,2,3
10169,4,2019,154,141,2,2
10171,4,2019,140,147,2,1
10177,4,2019,143,150,1,3
10243,4,2019,223,147,1,2
10249,4,2019,140,153,2,1
10260,4,2019,150,156,2,1
10289,4,2019,232,156,2,0
10290,4,2019,141,152,1,1
10300,4,2019,159,152,0,0
10302,4,2019,145,150,1,0
10303,4,2019,223,138,1,0
10318,4,2019,159,141,0,2
10371,3,2018,119,125,1,0
10384,3,2018,124,125,1,0
10394,3,2018,136,234,6,0
10395,3,2018,123,131,2,0
10412,3,2018,123,119,2,6
10554,3,2019,120,234,2,1
10626,3,2019,129,233,3,2
10670,5,2018,160,169,3,0
10695,5,2018,160,168,2,1
10704,5,2018,176,160,1,0
10722,5,2018,175,171,2,0
10734,5,2018,181,160,1,2
10755,5,2018,178,176,1,1
10920,5,2019,224,235,2,1
10921,5,2019,181,177,1,1
10945,5,2019,177,160,1,1
10976,5,2019,170,169,3,0
11680,1,2019,92,87,0,3
11696,1,2019,92,79,2,0
11765,1,2019,73,229,1,2
11801,1,2019,90,78,0,0
11837,1,2019,88,238,2,0
11913,1,2020,71,238,0,0
11922,1,2020,81,74,3,1
11937,1,2020,79,74,0,3
11940,1,2020,72,87,0,0
11945,1,2020,75,220,0,0
11986,1,2020,87,92,1,1
12109,4,2019,155,157,1,0
12170,4,2019,140,156,4,1
12218,4,2020,151,158,0,1
12237,4,2020,239,231,0,1
12343,4,2020,158,155,0,2
12406,3,2019,129,121,5,1
12427,3,2019,240,129,3,1
12435,3,2019,129,119,4,0
12453,3,2019,120,130,0,3
12495,3,2019,125,240,2,3
12544,3,2019,135,117,1,3
12585,3,2020,130,134,2,1
12623,3,2020,122,123,2,2
12627,3,2020,205,134,1,2
12728,5,2019,163,161,2,1
12777,5,2019,160,225,2,0
12783,5,2019,180,174,2,2
12808,5,2019,171,163,3,2
12823,5,2019,180,166,2,2
12848,5,2019,181,163,2,1
12850,5,2019,177,176,1,1
12854,5,2019,163,175,2,1
12872,5,2019,163,167,2,1
13097,2,2019,116,242,0,1
13100,2,2019,111,242,1,0
13132,2,2019,94,99,0,0
13194,2,2019,243,104,2,2
13207,2,2019,104,97,3,1
13267,2,2020,95,113,0,2
13268,2,2020,221,94,0,2
13355,2,2020,95,102,2,1
13409,2,2020,99,96,0,0
13979,5,2020,160,163,1,1
14124,2,2020,116,96,0,2
14159,4,2020,261,138,1,3
14518,1,2020,245,83,0,0
14567,1,2020,80,81,3,0
14571,1,2020,86,228,1,1
14649,1,2021,238,76,2,1
14757,1,2021,228,82,0,1
14777,1,2021,228,92,0,2
14796,1,2021,92,87,0,3
14811,1,2021,88,72,5,0
14850,4,2020,155,151,1,1
14860,4,2020,140,155,2,0
14954,4,2021,157,150,0,0
14984,4,2021,150,151,1,2
14991,4,2021,153,148,2,3
14998,4,2021,148,158,5,1
15085,4,2021,157,146,3,1
15102,4,2021,153,146,2,2
15108,4,2021,138,147,0,1
15124,4,2021,150,138,2,2
15145,4,2021,140,231,4,1
15224,3,2020,132,129,1,1
15294,3,2021,119,131,0,1
15362,3,2021,121,130,3,1
15369,3,2021,122,119,3,0
15372,3,2021,123,131,1,2
15378,3,2021,131,134,1,0
15526,2,2020,107,110,3,0
15540,2,2020,98,107,1,1
15556,2,2020,97,107,2,2
15557,2,2020,115,230,2,1
15578,2,2021,116,222,1,2
15597,2,2021,97,94,1,0
15636,2,2021,116,107,0,1
15661,2,2021,94,98,1,1
15758,2,2021,105,116,1,1
15785,2,2021,115,94,2,1
15795,2,2021,260,113,4,1
15807,5,2020,210,175,2,0
15854,5,2020,179,168,0,2
