train_no,train_name,source_station_name,destination_station_name,departure_time,arrival_time,day_of_departure,day_of_arrival,distance
1011,CSMT-NGP SF,CST-MUMBAI,NAGPUR JN.(CR),00:20:00,14:20:00,Thursday,Thursday,7520
1045,LTT-KRMI SPL,LOKMANYA TILAK TERMINUS,VASHI,01:10:00,11:00:00,Thursday,Thursday,3105
1119,AJNI-KRMI SP,AJNI,VASHI,19:50:00,20:30:00,Monday,Monday,15373
1120,KRMI-AJNI SP,VASHI,AJNI,21:30:00,22:00:00,Sunday,Sunday,16304
1122,KRMI-CSMT SP,VASHI,CST-MUMBAI,22:30:00,10:30:00,Friday,Friday,3880
1196,NGP-KRMI SPL,NAGPUR JN.(CR),VASHI,19:50:00,21:30:00,Saturday,Sunday,17799
2025,CSMT-KRMI SF,CST-MUMBAI,VASHI,05:00:00,13:20:00,Tuesday,Tuesday,1554
2026,KRMI-CSMT SF,VASHI,CST-MUMBAI,14:30:00,23:00:00,Monday,Monday,2443
4409,DLI-SVDK SPL,DELHI JN.,DELHI JN.,21:10:00,11:30:00,Sunday,Sunday,2838
4410,SVDK-DLI SPL,SHRI MATA VAISHNO DEVI KATRA,DELHI JN.,13:30:00,03:15:00,Wednesday,Wednesday,1728
10103,MANDOVI EXPR,CST-MUMBAI,MADGOAN JN.,07:10:00,18:45:00,Thursday,Thursday,6874
10104,MANDOVI EXPR,MADGOAN JN.,CST-MUMBAI,09:15:00,21:40:00,Monday,Monday,4961
10111,KONKAN KANYA,CST-MUMBAI,MADGOAN JN.,23:05:00,10:45:00,Friday,Friday,6890
10112,KONKAN KANYA,MADGOAN JN.,CST-MUMBAI,18:00:00,05:50:00,Saturday,Saturday,4946
11003,DR-SWV TUTAR,DADAR,SAWANTWADI ROAD,00:05:00,10:40:00,Friday,Friday,6247
11004,SWV-DR TUTAR,SAWANTWADI ROAD,DADAR,18:50:00,06:45:00,Friday,Friday,4313
11005,DR-PDY EXPRE,DADAR,PONDICHERRY,21:30:00,07:15:00,Saturday,Sunday,34035
11006,CHALUKYA EXP,PONDICHERRY,DADAR,20:50:00,05:40:00,Saturday,Sunday,28240
11007,DECCAN EXPRE,CST-MUMBAI,PUNE JN.,07:00:00,11:05:00,Wednesday,Wednesday,1251
11008,DECCAN EXPRE,PUNE JN.,CST-MUMBAI,15:15:00,19:17:00,Monday,Monday,932
11009,SINHAGAD EXP,CST-MUMBAI,PUNE JN.,14:30:00,18:40:00,Thursday,Thursday,1360
11010,SINHAGAD EXP,PUNE JN.,CST-MUMBAI,06:05:00,09:55:00,Sunday,Sunday,770
11019,KONARK EXPRE,CST-MUMBAI,BHUBANESWAR,15:10:00,04:15:00,Friday,Saturday,40595
11020,KONARK EXPRE,BHUBANESWAR,CST-MUMBAI,15:25:00,03:55:00,Wednesday,Thursday,36985
11021,DR-TEN EXPRE,DADAR,TIRUNELVELI JN,21:30:00,11:45:00,Saturday,Sunday,37296
11022,TEN - DR EXP,TIRUNELVELI JN,DADAR,15:00:00,05:40:00,Saturday,Monday,34662
11023,SAHYADRI EXP,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,17:50:00,06:05:00,Wednesday,Wednesday,7986
11024,SAHYADRI EXP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,CST-MUMBAI,22:50:00,11:50:00,Thursday,Friday,7718
11027,CSMT-MAS MAI,CST-MUMBAI,CHENNAI CENTRAL,23:45:00,03:30:00,Sunday,Monday,35428
11028,MAS-CSMT MUM,SHIVAJINAGAR,CST-MUMBAI,23:55:00,03:45:00,Thursday,Friday,32498
11029,KOYNA EXPRES,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,08:40:00,20:25:00,Tuesday,Tuesday,10042
11030,KOYNA EXPRES,CHHATRAPATI SHAHU MAHARAJ TERMINUS,CST-MUMBAI,07:55:00,20:05:00,Friday,Friday,7223
11035,SHARAVATHI E,DADAR,MYSORE JN.,21:30:00,21:40:00,Friday,Saturday,17544
11036,SHARAVATI EX,MYSORE JN.,DADAR,06:15:00,05:40:00,Tuesday,Tuesday,14044
11041,CSMT -MAS EX,CST-MUMBAI,CHENNAI CENTRAL,14:00:00,16:30:00,Tuesday,Wednesday,25159
11042,MAS-CSMT MUM,CHENNAI CENTRAL,CST-MUMBAI,12:20:00,13:35:00,Saturday,Sunday,19816
